Query_Id,Query,Query_Category,System_Output,Remarks
Q001,Which call mentions refund?,Evidence Hunt,,
Q002,What issue did the customer report?,Fact Lookup,,
Q003,Which call mentions account suspension?,Evidence Hunt,,
Q004,What was the resolution?,Fact Lookup,,
Q005,Did any call mention cryptocurrency?,Negative,,
Q006,Which call mentions delivery issue?,Evidence Hunt,,
Q007,What product was mentioned?,Fact Lookup,,
Q008,Which call mentions double charge?,Evidence Hunt,,
Q009,What did the agent suggest?,Fact Lookup,,
Q010,Did customer talk about stock market?,Negative,,
Q011,Which call mentions a refund request?,Evidence Hunt,,
Q012,Which call mentions a billing dispute?,Evidence Hunt,,
Q013,Which conversation talks about account suspension?,Evidence Hunt,,
Q014,Which call mentions a delivery delay?,Evidence Hunt,,
Q015,Which call mentions double billing?Evidence Hunt,,
Q016, Which call mentions a payment failure?,Evidence Hunt,,
Q017,Which call mentions a login problem?,Evidence Hunt,,
Q018, Which call mentions a password reset request?,Evidence Hunt,,
Q019,Which call mentions a shipping issue?,Evidence Hunt,,
Q020,Which call mentions a damaged product?,Evidence Hunt,,
Q020,What issue did the customer report?,Fact Lookup,,
Q021,What problem did the customer face with their account?,Fact Lookup,,
Q022,What solution did the agent provide?,Fact Lookup,,
Q023,What amount was disputed by the customer?,Fact Lookup,,
Q024,What did the customer request from the support agent?,Fact Lookup,,
Q025,What instructions did the agent give to resolve the issue?,Fact Lookup,,
Q026,What was the main complaint in the call?,Fact Lookup,,
Q027,What product or service was discussed?,Fact Lookup,,
Q028,What was the final resolution of the issue?,Fact Lookup,,
Q029,What action did the agent suggest to the customer?,Fact Lookup,,
Q030,What steps did the agent recommend to fix the problem?,Fact Lookup,,
Q031,What explanation did the agent provide to the customer?,Fact Lookup,,
Q032,What details did the customer provide about the issue?,Fact Lookup,,
Q033,What assistance did the agent offer to the customer?,Fact Lookup,,
Q034,What information did the customer request?,Fact Lookup,,
Q035,Did any call mention cryptocurrency?,Negative,,
Q036,Did any call mention stock trading?,Negative,,
Q037,Did any call discuss real estate investments?,Negative,,
Q038,Did any call mention sports betting?,Negative,,
Q039,Did any conversation discuss buying a car?,Negative,,
Q040,Did any call talk about airline reservations?,Negative,,
Q041,Did any call mention hospital services?,Negative,,
Q042,Did any conversation talk about college admissions?,Negative,,
Q043,Did any call discuss weather forecasts?,Negative,,
Q044,Did any conversation mention cooking recipes?,Negative,,
Q045,Did any call talk about cryptocurrency wallets?,Negative,,
Q046,Did any call mention online gaming purchases?,Negative,,
Q047,Did any call discuss hotel reservations?,Negative,,
Q048,Did any conversation mention restaurant bookings?,Negative,,
Q049,Did any call mention travel insurance?,Negative,,
Q050,What was the customer's main concern in the conversation?,Reasoning,,
Q051,How did the agent resolve the customer's issue?,Reasoning,,
Q052,Did the agent provide a clear solution to the customer?,Reasoning,,
Q053,What steps did the agent suggest to fix the problem?,Reasoning,,
Q054,Was the customer's issue related to billing or service?,Reasoning,,
Q055,Did the customer request a refund or a replacement?,Reasoning,,
Q056,What type of problem was the customer experiencing?,Reasoning,,
Q057,Was the issue resolved during the call?,Reasoning,,
Q058,Did the agent escalate the issue?,Reasoning,,
Q059,What action did the agent take to assist the customer?,Reasoning,,
Q060,Was the customer's concern about payment or account access?,Reasoning,,
